253638345	MinDeporteCol	Ministerio del Deporte
112412293	Horadelaverdad	La Hora de La Verdad
158431451	jdlaverde9	Juan David Laverde
165748292	angelamrobledo	ngela Mara Robledo
249408654	RSNCOL	Red Sismologica N.
277206820	CARLOSFMEJIA	Senador Carlos Felipe Meja
2400080066	BLUPacifico	BLU Pacfico
455338047	monterialcaldia	Alcalda de Montera
138135627	veranodelarosa	Eduardo Verano
155428489	karenabudi	Karen Abudinen
338472735	CamaraColombia	Cmara de Representantes de Colombia
287915407	IDEAMColombia	IDEAMColombia
568768561	marcela_amayag	Marcela Amaya Garca
61097151	AlvaroUribeVel	lvaro Uribe Vlez
77653794	IvanDuque	Ivn Duque
1667890820	FNDCol	FND Colombia
175806207	agaviriau	Alejandro Gaviria
1201567172	Gr_Naranjo	General Naranjo
21938850	RafaelPardo	Rafael Pardo 
237759006	camaracali	Cmara Comercio Cali
