325775822	JuanDiegoSoyYo	Juan Diego Medina
2253843594	ElJuliSastoque	Julin R. Sastoque 23
86470793	Lamafemendezzz	Mafe Mendez  PAUSE
57625303	nancyloaz	Nancy Loaiza 
4827264434	mindo_el	El_mindo
53514952	PauletteeOfcl	Paulettee 
1451897858	DIRECTVCo	DIRECTV Colombia
252134272	CanalCapital	Canal Capital
26946244	DiegoASantos	Diego A. Santos
63541160	revistapym	Revista P&M
36276135	QuinteroCalle	Daniel Quintero Calle
62561348	ReddsColombia	Redd's Sin Amarguras
622082899	BluRadioCo	BluRadio Colombia
52848989	los40colombia	Los 40 Colombia
42630799	julianacasali	Juliana Casali
175488530	mapatilla	Mara Paulina Baena
1707507866	Uber_Col	Uber Colombia
2718333270	SoyDavidOrrego	DAVID ORREGO
17572957	MauricioJaramil	Mauricio Jaramillo M
191058613	diegodukee	ASTRONAUTA FORESTAL
